_id,name,code,docstring,human_label,enriched_description
6367676d1a6d9265ec018229,trimArrayElements,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */
",Trim each element in the given string array and return the resulting array.,"1. One-line summary: Trims whitespace from each element of an array.
2. Function behavior: The function trims leading and trailing whitespace from each string in the input array. If the array or its elements are null, it returns an empty string or null respectively.
3. Function signature: 
@param array String[]: The input array of strings to be trimmed.
@return String[]: A new array with trimmed strings.
4. Examples: 
[""  hello "", "" world  ""] -> [""hello"", ""world""] (trims spaces)
[""foo"", ""bar""] -> [""foo"", ""bar""] (no spaces to trim)
null -> [] (handles null input)
5. Preconditions & Postconditions: Input array may contain null elements and will be safely handled, resulting in trimmed strings or nulls in the output."
6367670b1a6d9265ec017a00,isSameLength,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */
",Check whether the length of the given two byte arrays is the same.,"1. One-line summary: Checks if two byte arrays have the same length.
2. Function behavior: Returns true if both arrays are null or have the same length; otherwise, returns false.
3. Function signature: 
@param array1 byte[]: first byte array
@param array2 byte[]: second byte array
@return boolean: true if same length or both null, false otherwise
4. Examples: null, null -> true (both null) null, new byte[]{1} -> false (one null, one not) new byte[]{1,2}, new byte[]{3,4} -> true (same length) new byte[]{1,2}, new byte[]{3} -> false (different lengths)
5. Preconditions & Postconditions: Arrays can be null, valid output respecting null and length conditions."
636766a91a6d9265ec0175c2,pop,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */
",Pop an abstract type from the output frame stack and return its value.,"1. One-line summary: Returns the top element of the stack or a special code.
2. Function behavior: Removes and returns the top element from `outputStack` if there is one, otherwise returns a special code computed with `STACK_KIND` and `outputStackStart`.
3. Function signature:
@return int: The top element of `outputStack` or a special code.
4. Examples: (outputStackTop=2, outputStack={5,3}) -> 3 (normal pop) (outputStackTop=0, outputStackStart=1) -> STACK_KIND-0 (special case return)
5. Preconditions & Postconditions: The stack must have non-negative indices; returns stack element or computed special code."
636767081a6d9265ec017989,toPrimitive,"public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */
","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","1. One-line summary: Converts a Boolean array to a boolean array.
2. Function behavior: Transforms a Boolean array to a primitive boolean array, returning null for null input or an empty array for empty input.
3. Function signature: @param array Boolean[]: Array of Boolean objects
@return boolean[]: Array of primitive boolean values
4. Examples: [true, false, true] -> [true, false, true] (convert to primitives) null -> null (returns null for null input) [] -> [] (returns empty array for empty input)
5. Preconditions & Postconditions: Input can be null or empty, output will match nullability and emptiness of input while converting values."
6367672d1a6d9265ec017c73,shouldPrintMessage,"public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */
"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","1. One-line summary: Checks if a message should be printed based on timestamp criteria.
2. Function behavior: Determines if a message can be printed based on whether it has been logged within the last 10 seconds. Updates the message timestamp if it can be printed.
3. Function signature:
@param timestamp int: The time at which the message is attempted to be printed.
@param message String: The message to be potentially printed.
@return boolean: Returns true if the message should be printed, false otherwise.
4. Examples: 
(10, ""foo"") -> true (First time message)
(15, ""foo"") -> false (Within 10 seconds of last print)
(22, ""foo"") -> true (After 10 seconds of last print)
5. Preconditions & Postconditions: Messages are checked against a timestamp map to see if they were logged in the last 10 seconds; timestamps are updated if printed."
636766f81a6d9265ec01775c,toString,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */
","Return the string representation of the given object, return an empty string if the object is null.","1. One-line summary: Returns object's string representation or empty string if null.
2. Function behavior: Converts an object to its string representation using `toString()` method. Returns an empty string if the object is null.
3. Function signature:
   @param obj Object: The object to convert to a string.
   @return String: The string representation of the object or an empty string for null objects.
4. Examples: 
   null -> """" (null object returns empty string)
   ""Hello"" -> ""Hello"" (string object returns itself)
   new Integer(5) -> ""5"" (integer object returns its string representation)
5. Preconditions & Postconditions: Accepts any object type, returns a string. Will not throw exceptions or modify the input object."
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","1. One-line summary: Decode and append bytes to a StringBuilder.
2. Function behavior: The function reads bytes from ByteBuffer, decodes them as a UTF-8 string, appends the result to StringBuilder, and returns an incremented index based on the byte sequence length.
3. Function signature: 
@param i int: The initial index.
@param bb ByteBuffer: The byte buffer containing octets.
@param sb StringBuilder: The StringBuilder to append decoded characters.
@return int: The updated index after decoding.
4. Examples: 
1 byte with value < 0x80 -> index+2 (decoded single byte)
Multiple bytes -> index + bytes_count*3 - 1 (decoded multiple bytes)
5. Preconditions & Postconditions: ByteBuffer contains valid UTF-8 encoding, CharBuffer decoding must succeed."
636766aa1a6d9265ec0175ce,visitFrameStart,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","1. One-line summary: Initializes or resizes an integer array for frame data.
2. Function behavior: Allocates or resets currentFrame to store offset, numLocal, and numStack values, storing them at specified indices.
3. Function signature:
@param offset int: Frame offset.
@param numLocal int: Number of local variables.
@param numStack int: Number of stack elements.
@return int: Always returns 3.
4. Examples: 5, 2, 3 -> 3 (Initializes currentFrame array of length 8 with given values) 10, 0, 5 -> 3 (Initializes currentFrame array of length 8 with given values) 0, 3, 4 -> 3 (Initializes currentFrame array of length 10 with given values)
5. Preconditions & Postconditions: Preconditions: numLocal and numStack are non-negative. Postconditions: currentFrame is initialized or resized to correctly hold the frame data."
636767191a6d9265ec017c0f,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
","Enlarge the byte vector data, by increasing it by the given size.","1. One-line summary: Enlarges byte array to accommodate additional size.
2. Function behavior: Creates a new byte array with a size that is either double the original or large enough to fit the current data plus an additional size. Copies existing data to the new array and updates the reference.
3. Function signature: @param size int: The additional capacity needed.
4. Examples: data length = 10, size = 5 -> new array of size 20 (capacity doubled) data length = 10, size = 15 -> new array of size 25 (capacity based on minimal need) 
5. Preconditions & Postconditions: Preconditions: 'data' must be a valid byte array; 'length' is the current data size. Postconditions: 'data' has been enlarged to accommodate additional elements."
636767821a6d9265ec0183a0,deleteFile,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Delete's the specified file if it exists 
 */
",Delete the given file if it exists,"1. One-line summary: Deletes a file if it exists.
2. Function behavior: The function checks if a file with the given name exists and deletes it if present.
3. Function signature: 
   @param fileName String: The name of the file to be deleted.
4. Examples: 
   ""test.txt"" -> null (Deletes ""test.txt"" if it exists)
   ""nonexistent.txt"" -> null (Does nothing if ""nonexistent.txt"" doesn't exist)
   ""/path/to/file.txt"" -> null (Deletes the file at specified path if it exists)
5. Preconditions & Postconditions: The file must be present for deletion; after execution, the file is either deleted or remains unchanged if it doesn’t exist."
