_id,name,code,docstring,human_label,enriched_description
6367676d1a6d9265ec018229,trimArrayElements,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */
",Trim each element in the given string array and return the resulting array.,"```
---
**1. One-line summary:** Trims whitespace from elements of a string array.
**2. Function behavior:** The function takes an array of strings, checks if it is empty or null, and returns an empty array if so. Otherwise, it trims leading and trailing whitespace from each non-null element, producing a new array with the trimmed strings or null for the originally null elements.
**3. Function signature:** Accepts an array of strings and returns an array of strings.
**4. Examples:** 
   Input: [""  hello"", ""world  "", null]
   Output: [""hello"", ""world"", null]
   Input: [""  foo"", "" bar ""]
   Output: [""foo"", ""bar""]
   Input: null
   Output: []
**5. Preconditions & Postconditions:** 
   Preconditions: Input is a string array, which can contain nulls.
   Postconditions: Returns a new array of the same length, with each string trimmed of whitespace or null, outputting an empty array if the input is null.
---
```"
6367670b1a6d9265ec017a00,isSameLength,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */
",Check whether the length of the given two byte arrays is the same.,"```
---
**1. One-line summary:** Checks if two byte arrays have the same length.
**2. Function behavior:** The function returns false if either array is null and the other is non-null with elements or if both are non-null and have different lengths; otherwise, it returns true.
**3. Function signature:** The function takes two byte arrays (array1, array2) as parameters and returns a boolean.
**4. Examples:** 
   - Input: array1 = [1, 2, 3], array2 = [4, 5, 6]; Output: true
   - Input: array1 = [1, 2], array2 = [4, 5, 6]; Output: false
   - Input: array1 = null, array2 = []; Output: true
   - Input: array1 = [1, 2], array2 = null; Output: false
**5. Preconditions & Postconditions:** Arrays can be null or non-null with zero or more elements; function returns true if both arrays are the same length or both are null/empty, and false if not.
---
```"
636766a91a6d9265ec0175c2,pop,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */
",Pop an abstract type from the output frame stack and return its value.,"```
---
**1. One-line summary:** Pops the top element from a simulated stack or returns a modified index value with error flag.
**2. Function behavior:** The function checks if the outputStack has elements by comparing outputStackTop with 0. If there are elements, it decreases the outputStackTop and returns the value from outputStack. Otherwise, it decreases outputStackStart and returns it modified with STACK_KIND.
**3. Function signature:** private int pop() returns an integer; it has no parameters.
**4. Examples:** 
   - Input: outputStackTop = 3, outputStack = {10,20,30}, outputStackStart = 0
     Output: 30
   - Input: outputStackTop = 0, outputStackStart = 5, STACK_KIND = 100
     Output: 95
**5. Preconditions & Postconditions:** 
   - Preconditions: outputStackTop and outputStackStart are non-negative integers, outputStack is initialized.
   - Postconditions: If outputStackTop > 0, return the top element; if 0, return STACK_KIND | -(outputStackStart - 1).
---
```"
636767081a6d9265ec017989,toPrimitive,"public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */
","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","```
---
**1. One-line summary:** Converts an array of Boolean objects to an array of primitive boolean values.
**2. Function behavior:** The function takes an array of Boolean objects and converts it to an array of primitive boolean values, returning null if the input is null or an empty array if the input is empty using `ArrayUtils.EMPTY_BOOLEAN_ARRAY`.
**3. Function signature:** Takes a Boolean array as a parameter and returns a boolean array.
**4. Examples:** 
   Input: [Boolean.TRUE, Boolean.FALSE] -> Output: [true, false]
   Input: [Boolean.FALSE, Boolean.TRUE, Boolean.FALSE] -> Output: [false, true, false]
   Input: [] -> Output: []
**5. Preconditions & Postconditions:** The input can be null or an empty array. The function returns null for a null input, and an empty boolean array for an empty input using `ArrayUtils.EMPTY_BOOLEAN_ARRAY`. Each Boolean object in the input array is expected to be non-null for correct processing.
---
```"
6367672d1a6d9265ec017c73,shouldPrintMessage,"public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */
"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","```
---
**1. One-line summary:** Checks whether a message can be printed based on a 10-second interval condition.
**2. Function behavior:** The function maintains a record of messages and their timestamps; it returns true if the message hasn't been printed in the last 10 seconds, otherwise, returns false.
**3. Function signature:** Takes an integer 'timestamp' and a string 'message' as parameters; returns a boolean.
**4. Examples:** 
  - shouldPrintMessage(1, ""test"") -> true
  - shouldPrintMessage(2, ""test"") -> false
  - shouldPrintMessage(11, ""test"") -> true
**5. Preconditions & Postconditions:** 
   - Preconditions: 'timestamp' is a non-negative integer; 'message' is a non-null string.
   - Postconditions: Returns true if 'timestamp' for 'message' is at least 10 seconds later than the previous, or it's a new message; otherwise, returns false.
---
```"
636766f81a6d9265ec01775c,toString,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */
","Return the string representation of the given object, return an empty string if the object is null.","```
---
**1. One-line summary:** Converts an object to its string representation.
**2. Function behavior:** The function checks if the provided object is null, returning an empty string if true; otherwise, it returns the result of the object's toString() method.
**3. Function signature:** Takes an Object as a parameter and returns a String.
**4. Examples:** 
   - Input: toString(null), Output: """"
   - Input: toString(123), Output: ""123""
   - Input: toString(new Object()), Output: ""java.lang.Object@<hashcode>""
   - Input: toString(""Hello""), Output: ""Hello""
**5. Preconditions & Postconditions:** The object parameter may be any valid Java object or null; the function is guaranteed to return a non-null String.
---
```"
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","```
---
**1. One-line summary:** Decodes bytes from a ByteBuffer and appends the result to a StringBuilder.

**2. Function behavior:** The function checks if the ByteBuffer contains a single byte representing a US-ASCII character. If true, it appends this character to the StringBuilder and returns an incremented index. Otherwise, it decodes the ByteBuffer using UTF-8 and appends the resulting characters to the StringBuilder, returning an index based on the ByteBuffer's limit.

**3. Function signature:** The function takes an integer `i`, a `ByteBuffer` bb, and a `StringBuilder` sb, returning an integer.

**4. Examples:** 
- Input: i = 0, bb = ByteBuffer.wrap(new byte[]{0x41}), sb = new StringBuilder(); Output: i = 2, sb = ""A""
- Input: i = 0, bb = ByteBuffer.wrap(new byte[]{(byte)0xC3, (byte)0xA9}), sb = new StringBuilder(); Output: i = 5, sb = ""é""

**5. Preconditions & Postconditions:** 
- Preconditions: `bb` is assumed to have a valid position and limit set, containing bytes encoded either in US-ASCII or UTF-8.
- Postconditions: Returns an incremented index, and `sb` will contain decoded string characters.
---
```"
636766aa1a6d9265ec0175ce,visitFrameStart,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","```
---
**1. One-line summary:** Initializes or resizes the current frame array and sets its initial values.

**2. Function behavior:** The function calculates the required length for the `currentFrame` array based on the sum of a fixed base value (3), the `numLocal`, and `numStack`. If `currentFrame` is null or lacks sufficient length, it is initialized or resized to accommodate this newly calculated length. The array is then populated with the `offset`, `numLocal`, and `numStack` at its start positions, and the function returns the fixed base value, 3.

**3. Function signature:** The function takes three integer parameters: `offset`, `numLocal`, and `numStack`, and returns an integer.

**4. Examples:** 
- Input: `(5, 10, 15)` -> Output: `3`
- Input: `(0, 0, 0)` -> Output: `3`
- Input: `(1, 2, 3)` -> Output: `3`

**5. Preconditions & Postconditions:** 
Preconditions: `currentFrame` is an integer array that may be null or of insufficient length. All parameters are non-negative integers. 
Postconditions: The function returns the value `3`, and the `currentFrame` array is guaranteed to contain values `[offset, numLocal, numStack]` at its start. There are no failure cases specified beyond memory constraints.
---
```"
636767191a6d9265ec017c0f,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
","Enlarge the byte vector data, by increasing it by the given size.","```
---
**1. One-line summary:** Enlarges the array to fit additional elements.
**2. Function behavior:** The function creates a new byte array of a specified size or double the current array's length, whichever is larger, copies the existing elements into this new array, and updates the reference.
**3. Function signature:** Accepts an integer 'size' as a parameter and has a void return type.
**4. Examples:** 
   Input: size = 10, current data length = 5
   Output: new data length = 20 (if data has a length of 5)
**5. Preconditions & Postconditions:** Preconditions: the 'data' array is properly initialized and 'length' is valid. Postconditions: 'data' is assigned a new array that can contain at least 'length + size' elements.
---
```"
636767821a6d9265ec0183a0,deleteFile,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Delete's the specified file if it exists 
 */
",Delete the given file if it exists,"```
---
**1. One-line summary:** Deletes a specified file if it exists.

**2. Function behavior:** The function takes a string representing a file name, creates a File object with it, checks if this file exists, and attempts to delete it if it does.

**3. Function signature:** (String fileName) -> void

**4. Examples:** 
- Input: ""example.txt""
- Action: Deletes ""example.txt"" if it exists.

**5. Preconditions & Postconditions:** 
- Preconditions: The function expects a valid file name as a string.
- Postconditions: The specified file is deleted if it exists; no action is taken if it does not.
---
```"
