_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond
6367676d1a6d9265ec018229,trimArrayElements,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */
",Trim each element in the given string array and return the resulting array.,Trims whitespace from each element in a string array.,"The function takes an array of strings and returns a new array where each string element has leading and trailing whitespace removed. If an element is `null`, it remains `null`.",`public static String[] trimArrayElements(String[] array)` takes an array of strings as the input parameter and returns a new array of strings.,"- Typical usage: Input: `[""  hello "", "" world "", "" ! ""]` -> Output: `[""hello"", ""world"", ""!""]`
   - Boundary edge case: Input: `[]` -> Output: `[]`
   - Special or unusual case: Input: `[null, ""  test ""]` -> Output: `[null, ""test""]`","The input array may be empty or contain `null` values. The output will be a new array with the same length, and each non-null string element will have its whitespace trimmed.
---
```"
6367670b1a6d9265ec017a00,isSameLength,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */
",Check whether the length of the given two byte arrays is the same.,Checks if two byte arrays have the same length.,"The function returns `true` if both byte arrays are `null` or if they are non-null and have the same length. It returns `false` if one is null and the other is not, or if they are both non-null but have different lengths.",Takes two byte arrays `array1` and `array2` as parameters and returns a boolean.,"- Typical usage: `isSameLength(new byte[]{1,2,3}, new byte[]{4,5,6})` returns `true`.
   - Boundary edge case: `isSameLength(new byte[]{}, new byte[]{})` returns `true`.
   - Special case: `isSameLength(null, null)` returns `true`.","Both parameters may be `null`. The function returns `true` only if both arrays are `null` or have the same non-zero length, otherwise it returns `false`.
---
```"
636766a91a6d9265ec0175c2,pop,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */
",Pop an abstract type from the output frame stack and return its value.,Returns an item from `outputStack` or a computation involving `outputStackStart`.,"The function checks if `outputStackTop` is greater than zero; if true, it decrements `outputStackTop` and returns the new top item from `outputStack`. If false, it decrements `outputStackStart`, negates it, combines it with `STACK_KIND` using bitwise OR, and returns the result.",No parameters; returns an `int`.,"- Typical usage: If `outputStackTop` is 3 and `outputStack = [10, 20, 30]`, `pop()` returns `30` after decrementing `outputStackTop`.
   - Boundary edge case: If `outputStackTop` is 1 with `outputStack = [10]`, `pop()` returns `10`; subsequent calls when `outputStackTop` is 0 return `STACK_KIND | -outputStackStart`.
   - Special or unusual case: If called when `outputStackTop` is 0, directly returns a value computed using `outputStackStart` and `STACK_KIND`.","- Preconditions: `outputStack`, `outputStackTop`, `outputStackStart`, and `STACK_KIND` should be properly initialized.
   - Postconditions: The method modifies `outputStackTop` or `outputStackStart` based on its condition checks and returns an integer.
---"
636767081a6d9265ec017989,toPrimitive,"public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */
","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.",Converts an array of Boolean objects to an array of primitive booleans.,"The function takes an array of Boolean objects and checks if it's null or empty. If null, it returns null. If empty, it returns a predefined constant empty boolean array. Otherwise, it creates a new boolean array of the same length and populates it by unboxing each Boolean to a boolean primitive.",The function receives an array of Boolean objects (`Boolean[]`) and returns a corresponding array of primitive booleans (`boolean[]`).,"- **Typical usage:** Input: `[Boolean.TRUE, Boolean.FALSE]` Output: `[true, false]`
   - **Boundary edge case:** Input: `null` Output: `null`
   - **Boundary edge case:** Input: `new Boolean[0]` Output: `ArrayUtils.EMPTY_BOOLEAN_ARRAY`","- Preconditions: The input can either be null, empty, or an array of Boolean objects.
   - Postconditions: The output is null if the input is null, a non-null array of primitive booleans with corresponding true/false values, or a predefined empty array if input is empty.
---
```"
6367672d1a6d9265ec017c73,shouldPrintMessage,"public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */
"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.",Rate-limits messages to be printed at least 10 seconds apart.,"The function checks if a message can be printed based on a timestamp constraint. It only allows printing if the message was not printed in the last 10 seconds; otherwise, it updates the timestamp and permits printing.",The function takes an integer `timestamp` and a `String` message as parameters and returns a `boolean`.,"- Typical usage: `shouldPrintMessage(1, ""foo"")` returns `true` (first-time message).
   - Boundary edge case: `shouldPrintMessage(10, ""foo"")` returns `false` (exactly at 10 seconds interval).
   - Special case: `shouldPrintMessage(11, ""foo"")` returns `true` (message interval > 10 seconds).","- Preconditions: The `timestamp` is a non-negative integer, and `message` is a non-empty string.
   - Postconditions: The function ensures a 10-second interval between identical message prints.
---
```"
636766f81a6d9265ec01775c,toString,"public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */
","Return the string representation of the given object, return an empty string if the object is null.",Converts an object to a string or returns an empty string if null.,"The function checks if the input object is null; if so, it returns an empty string. Otherwise, it returns the result of the object's `toString()` method.",The function takes an `Object` as a parameter and returns a `String`.,"- Typical usage: `toString(""Hello"")` returns `""Hello""`.
   - Boundary edge case: `toString(null)` returns `""""`.
   - Special or unusual case: `toString(new Object())` returns something like `""java.lang.Object@647e05""` (depending on the object's `toString()` implementation).","- Preconditions: The input can be any object reference or null.
   - Postconditions: The output is a non-null string that represents the input object or is empty if the input is null.
---"
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.",Decodes bytes from a ByteBuffer and appends the result to a StringBuilder.,"The function checks if the ByteBuffer contains a single byte less than 0x80, treating it as a single ASCII character; otherwise, it decodes the bytes as UTF-8 characters and appends them to a StringBuilder, updating and returning an index.","The function takes an integer `i`, a `ByteBuffer` `bb`, and a `StringBuilder` `sb`, returning an integer.","- Typical usage: 
     - Input: `decodeOctets(0, ByteBuffer.wrap(new byte[]{65}), new StringBuilder())`
     - Output: Returns 2, StringBuilder is ""A"".
   - Boundary edge case:
     - Input: `decodeOctets(0, ByteBuffer.wrap(new byte[]{}), new StringBuilder())`
     - Output: Returns behavior undefined due to empty buffer.
   - Special or unusual case:
     - Input: `decodeOctets(0, ByteBuffer.wrap(new byte[]{(byte)0xC3, (byte)0xA9}), new StringBuilder())`
     - Output: Returns 5, StringBuilder is ""é"".","- Preconditions: The ByteBuffer `bb` must be non-null; expect valid UTF-8 encoding if `bb.limit() > 1`.
   - Postconditions: The function modifies the StringBuilder `sb` by appending decoded characters and returns an updated integer index.
---
```"
636766aa1a6d9265ec0175ce,visitFrameStart,"int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.",Initializes or resizes a frame array based on input values.,"The function initializes `currentFrame` to a new array with a length determined by the sum of `numLocal` and `numStack` plus an offset of 3 if it doesn't exist or isn't large enough, sets specific offset values, and returns 3.","`int visitFrameStart(final int offset, final int numLocal, final int numStack)` where it takes three integer parameters `offset`, `numLocal`, `numStack` and returns an integer.","- Typical usage: `visitFrameStart(5, 2, 3)` returns `3` and sets `currentFrame` to `[5, 2, 3, ...]`.
   - Boundary edge case: `visitFrameStart(0, 0, 0)` returns `3` and sets `currentFrame` to `[0, 0, 0]`.
   - Special case: `visitFrameStart(7, 4, 1)` manipulates or resizes `currentFrame` to store `[7, 4, 1, ...]` and returns `3`.","- Preconditions: No explicit constraints on inputs but assumes `currentFrame` may need initialization or resizing.
   - Postconditions: A `currentFrame` array is initialized/updated with the first three elements set as `offset`, `numLocal`, and `numStack`.
---
```"
636767191a6d9265ec017c0f,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
","Enlarge the byte vector data, by increasing it by the given size.",Resizes an internal byte array to accommodate additional data.,"The function doubles the current array's capacity or expands it to the minimum required size, copying existing elements to the new array.",The function takes an integer `size` as a parameter and returns void. It operates on a private field `byte[] data`.,"- Typical usage: 
     - Input: `size = 10`, `data.length = 15`, `length = 5`
     - Result: `newData.length = 30`
   - Boundary edge case:
     - Input: `size = 1`, `data.length = 5`, `length = 5`
     - Result: `newData.length = 10`
   - Special case: 
     - Input: `size = 0`, `data.length = 20`, `length = 20`
     - Result: `newData.length = 40`","- Preconditions: `data` is a non-null byte array, `length` is the number of used elements in `data`, and `size` is non-negative.
   - Postconditions: The `data` array is updated to a new larger size that can accommodate at least `size` more elements.
---
```"
636767821a6d9265ec0183a0,deleteFile,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Delete's the specified file if it exists 
 */
",Delete the given file if it exists,Deletes a file if it exists in the specified path.,The function checks if a file with the specified name exists and deletes it if it does.,"Takes a single parameter `fileName` which is a `String` representing the file path, and has a `void` return type.","- Typical usage: Input: ""document.txt"" (file exists), deletes the file.
   - Boundary edge case: Input: ""nonexistent.txt"" (file does not exist), does nothing.
   - Special or unusual case: Input: """" (empty string for path), does nothing as no valid file can be identified.","- Preconditions: `fileName` should be a valid string representing a file path.
   - Postconditions: If the file exists, it is deleted, no return value.
---
```"
