_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond,dataset,target_id,implementation_id,description,signature,method,generated_by,exit_code
6367667d1a6d9265ec017401,unescapeJava,"public static String unescapeJava(String str) throws Exception {
  if (str == null) {
    return null;
  }
  StringWriter writer=new StringWriter(str.length());
  unescapeJava(writer,str);
  return writer.toString();
}
","/** 
 * <p>Unescapes any Java literals found in the <code>String</code>. For example, it will turn a sequence of <code>'\'</code> and <code>'n'</code> into a newline character, unless the <code>'\'</code> is preceded by another <code>'\'</code>.</p>
 * @param str the <code>String</code> to unescape, may be null
 * @return a new unescaped <code>String</code>, <code>null</code> if null string input
 */
",Unescapes Java that found in the String.,Convert Java escape sequences in a string to actual characters.,"Transforms escape sequences (like \n, \t) in the input string to their respective characters, writing the result to a StringWriter.","@param str String: input string containing Java escape sequences
   @return String: string with escape sequences converted
   @throws Exception: if an error occurs during transformation","""Hello\\nWorld"" -> ""Hello\nWorld"" (newline converted)
""Tab\\tSeparated"" -> ""Tab\tSeparated"" (tab converted)
""\\\\"" -> ""\\"" (backslash preserved)",Input string may have escape sequences and the output will have them converted to respective characters.,CoderEval,6367667d1a6d9265ec017401,6367667d1a6d9265ec017401--9,Unescapes Java that found in the String.,public static String unescapeJava(String str) throws Exception {,"public static String unescapeJava(String str) throws Exception {
    if (str == null) {
        return null;
    }

    StringBuilder sb = new StringBuilder();
    boolean hadSlash = false;

    for (int i = 0; i < str.length(); i++) {
        char c = str.charAt(i);

        if (hadSlash) {
            switch (c) {
                case '\\':
                    sb.append('\\');
                    break;
                case 'n':
                    sb.append('\n');
                    break;
                case 't':
                    sb.append('\t');
                    break;
                case 'r':
                    sb.append('\r');
                    break;
                case 'b':
                    sb.append('\b');
                    break;
                case 'f':
                    sb.append('\f');
                    break;
                case '""':
                    sb.append('\""');
                    break;
                case '\'':
                    sb.append('\'');
                    break;
                default:
                    throw new IllegalArgumentException(""Illegal escape sequence: \\"" + c);
            }
            hadSlash = false;
        } else if (c == '\\') {
            hadSlash = true;
        } else {
            sb.append(c);
        }
    }

    if (hadSlash) {
        throw new IllegalArgumentException(""Last character cannot be backslash in unescaped string."");
    }

    return sb.toString();
}",gpt-4-turbo,0
6367667d1a6d9265ec017401,unescapeJava,"public static String unescapeJava(String str) throws Exception {
  if (str == null) {
    return null;
  }
  StringWriter writer=new StringWriter(str.length());
  unescapeJava(writer,str);
  return writer.toString();
}
","/** 
 * <p>Unescapes any Java literals found in the <code>String</code>. For example, it will turn a sequence of <code>'\'</code> and <code>'n'</code> into a newline character, unless the <code>'\'</code> is preceded by another <code>'\'</code>.</p>
 * @param str the <code>String</code> to unescape, may be null
 * @return a new unescaped <code>String</code>, <code>null</code> if null string input
 */
",Unescapes Java that found in the String.,Convert Java escape sequences in a string to actual characters.,"Transforms escape sequences (like \n, \t) in the input string to their respective characters, writing the result to a StringWriter.","@param str String: input string containing Java escape sequences
   @return String: string with escape sequences converted
   @throws Exception: if an error occurs during transformation","""Hello\\nWorld"" -> ""Hello\nWorld"" (newline converted)
""Tab\\tSeparated"" -> ""Tab\tSeparated"" (tab converted)
""\\\\"" -> ""\\"" (backslash preserved)",Input string may have escape sequences and the output will have them converted to respective characters.,CoderEval,6367667d1a6d9265ec017401,6367667d1a6d9265ec017401--13,Unescapes Java that found in the String.,public static String unescapeJava(String str) throws Exception {,"public static String unescapeJava(String str) throws Exception {
    try {
        return StringEscapeUtils.unescapeJava(str);
    } catch (Exception e) {
        throw new Exception(""Failed to unescape Java string: "" + str, e);
    }
}",deepseek-coder-6.7b-instruct,1
6367667f1a6d9265ec01745d,decodePath,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
  String rawPath=u.getRawPath();
  if (rawPath != null && rawPath.length() > 0 && rawPath.charAt(0) == '/') {
    rawPath=rawPath.substring(1);
  }
  return decodePath(rawPath,decode);
}
","/** 
 * Decode the path component of a URI as path segments.
 * @param u the URI. If the path component is an absolute path componentthen the leading '/' is ignored and is not considered a delimiator of a path segment.
 * @param decode true if the path segments of the path componentshould be in decoded form.
 * @return the list of path segments.
 */
",Decode the raw path.,Decodes URI paths based on given flag.,"Processes and optionally decodes the path segments of a URI, removing any leading slash, and returns processed segments.","@param u URI: The URI containing the path to decode.  
@param decode boolean: Flag indicating whether to decode the path.  
@return List<PathSegmentImpl>: The list of processed path segments.","URI(""/example/path"", true)
-> List[pathSegment1, pathSegment2] (Decodes and splits path)
URI(""/example/path"", false)
-> List[pathSegment1, pathSegment2] (Splits path, no decoding)
URI("""", true)
-> List[] (Empty path results in empty list)","The input URI can be empty or with leading slash; the output is a list of path segments, optionally decoded.",CoderEval,6367667f1a6d9265ec01745d,6367667f1a6d9265ec01745d--15,Decode the raw path.,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){","public static List<PathSegmentImpl> decodePath(URI u, boolean decode) {
    String path = u.getRawPath();
    if (path.startsWith(""/"")) {
        path = path.substring(1);
    }

    List<PathSegmentImpl> pathSegments = new ArrayList<>();
    String[] segments = path.split(""/"");

    for (String segment : segments) {
        String decodedSegment = segment;
        if (decode) {
            try {
                decodedSegment = URLDecoder.decode(segment, StandardCharsets.UTF_8.name());
            } catch (UnsupportedEncodingException e) {
                throw new IllegalArgumentException(""UTF-8 not supported"", e);
            }
        }
        pathSegments.add(new PathSegmentImpl(decodedSegment, decode));
    }

    return pathSegments;
}",gpt-4-turbo,0
6367667f1a6d9265ec01745d,decodePath,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
  String rawPath=u.getRawPath();
  if (rawPath != null && rawPath.length() > 0 && rawPath.charAt(0) == '/') {
    rawPath=rawPath.substring(1);
  }
  return decodePath(rawPath,decode);
}
","/** 
 * Decode the path component of a URI as path segments.
 * @param u the URI. If the path component is an absolute path componentthen the leading '/' is ignored and is not considered a delimiator of a path segment.
 * @param decode true if the path segments of the path componentshould be in decoded form.
 * @return the list of path segments.
 */
",Decode the raw path.,Decodes URI paths based on given flag.,"Processes and optionally decodes the path segments of a URI, removing any leading slash, and returns processed segments.","@param u URI: The URI containing the path to decode.  
@param decode boolean: Flag indicating whether to decode the path.  
@return List<PathSegmentImpl>: The list of processed path segments.","URI(""/example/path"", true)
-> List[pathSegment1, pathSegment2] (Decodes and splits path)
URI(""/example/path"", false)
-> List[pathSegment1, pathSegment2] (Splits path, no decoding)
URI("""", true)
-> List[] (Empty path results in empty list)","The input URI can be empty or with leading slash; the output is a list of path segments, optionally decoded.",CoderEval,6367667f1a6d9265ec01745d,6367667f1a6d9265ec01745d--16,Decode the raw path.,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){","public static List<PathSegmentImpl> decodePath(URI u, boolean decode) {
    List<PathSegmentImpl> segments = new ArrayList<>();
    String path = u.getPath();
    
    if (path != null && !path.isEmpty()) {
        if (path.startsWith(""/"")) {
            path = path.substring(1);
        }
        
        String[] rawSegments = path.split(""/"");
        for (String segment : rawSegments) {
            String decodedSegment = decode ? decodePathSegment(segment) : segment;
            segments.add(new PathSegmentImpl(decodedSegment));
        }
    }
    
    return segments;
}",gpt-4-turbo,1
636766801a6d9265ec017487,encodeTemplateNames,"public static String encodeTemplateNames(String s){
  int i=s.indexOf('{');
  if (i != -1)   s=s.replace(""{"",""%7B"");
  i=s.indexOf('}');
  if (i != -1)   s=s.replace(""}"",""%7D"");
  return s;
}
","/** 
 * Encodes a string with template parameters names present, specifically the characters '{' and '}' will be percent-encoded.
 * @param s the string with zero or more template parameters names
 * @return the string with encoded template parameters names.
 */
","Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",Replaces curly braces in a string with URL-encoded versions.,"The function searches for '{' and '}' in the input string and replaces each occurrence with the encoded strings ""%7B"" and ""%7D"" respectively.",@return String: The modified string with encoded curly braces.,"""{hello}"" -> ""%7Bhello%7D"" (both braces replaced)
""text"" -> ""text"" (no braces so no change)
""a{b}c"" -> ""a%7Bb%7Dc"" (braces encoded)",The input is a non-null string. The output is the original string with encoded curly braces if any present.,CoderEval,636766801a6d9265ec017487,636766801a6d9265ec017487--16,"Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",public static String encodeTemplateNames(String s){,"public static String encodeTemplateNames(String s) {
    return s.replace(""{"", ""%7B"").replace(""}"", ""%7D"");
}",gpt-4-turbo,0
636766801a6d9265ec017487,encodeTemplateNames,"public static String encodeTemplateNames(String s){
  int i=s.indexOf('{');
  if (i != -1)   s=s.replace(""{"",""%7B"");
  i=s.indexOf('}');
  if (i != -1)   s=s.replace(""}"",""%7D"");
  return s;
}
","/** 
 * Encodes a string with template parameters names present, specifically the characters '{' and '}' will be percent-encoded.
 * @param s the string with zero or more template parameters names
 * @return the string with encoded template parameters names.
 */
","Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",Replaces curly braces in a string with URL-encoded versions.,"The function searches for '{' and '}' in the input string and replaces each occurrence with the encoded strings ""%7B"" and ""%7D"" respectively.",@return String: The modified string with encoded curly braces.,"""{hello}"" -> ""%7Bhello%7D"" (both braces replaced)
""text"" -> ""text"" (no braces so no change)
""a{b}c"" -> ""a%7Bb%7Dc"" (braces encoded)",The input is a non-null string. The output is the original string with encoded curly braces if any present.,CoderEval,636766801a6d9265ec017487,636766801a6d9265ec017487--8,"Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",public static String encodeTemplateNames(String s){,"public static String encodeTemplateNames(String s) {
    if (s == null) {
        return s;
    }
    StringBuilder encodedString = new StringBuilder();
    for (char c : s.toCharArray()) {
        if (c == '{') {
            encodedString.append('<');
        } else if (c == '}') {
            encodedString.append('>');
        } else {
            encodedString.append(c);
        }
    }
    return encodedString.toString();
}",Phi-3-mini-4k-instruct,1
636766821a6d9265ec0174bf,capitalize,"public static String capitalize(String name){
  if (name == null || name.length() == 0) {
    return name;
  }
  char chars[]=name.toCharArray();
  chars[0]=Character.toUpperCase(chars[0]);
  return new String(chars);
}
","/** 
 * Reverse of Introspector.decapitalize
 */
",Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,Capitalizes the first character of a non-empty string.,Converts the first character of a given string to uppercase. Returns the modified string without altering other characters.,"@param name String: The input string to be capitalized
   @return String: The string with the first character capitalized","""hello"" -> ""Hello"" (capitalizes 'h')
""java"" -> ""Java"" (capitalizes 'j')
"""" -> """" (empty string remains unchanged)
null -> null (returns null for null input)",Input is a string or null; output is the modified string with an uppercase first character or unchanged for empty/null input.,CoderEval,636766821a6d9265ec0174bf,636766821a6d9265ec0174bf--18,Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,public static String capitalize(String name){,"public static String capitalize(String name){
    if(name == null || name.length() == 0){
        return name;
    }
    char[] arr = name.toCharArray();
    arr[0] = Character.toUpperCase(arr[0]);
    return new String(arr);
}",deepseek-coder-6.7b-instruct,0
636766821a6d9265ec0174bf,capitalize,"public static String capitalize(String name){
  if (name == null || name.length() == 0) {
    return name;
  }
  char chars[]=name.toCharArray();
  chars[0]=Character.toUpperCase(chars[0]);
  return new String(chars);
}
","/** 
 * Reverse of Introspector.decapitalize
 */
",Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,Capitalizes the first character of a non-empty string.,Converts the first character of a given string to uppercase. Returns the modified string without altering other characters.,"@param name String: The input string to be capitalized
   @return String: The string with the first character capitalized","""hello"" -> ""Hello"" (capitalizes 'h')
""java"" -> ""Java"" (capitalizes 'j')
"""" -> """" (empty string remains unchanged)
null -> null (returns null for null input)",Input is a string or null; output is the modified string with an uppercase first character or unchanged for empty/null input.,CoderEval,636766821a6d9265ec0174bf,636766821a6d9265ec0174bf--1,Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,public static String capitalize(String name){,"public static String capitalize(String name){
    char[] nameArray = name.toCharArray();
    nameArray[0] = Character.toUpperCase(nameArray[0]);
    return new String(nameArray);
}",Phi-3-mini-4k-instruct,1
636766821a6d9265ec0174c9,classPath,"private static File[] classPath(){
  final String[] fileNames=System.getProperty(""java.class.path"").split(File.pathSeparator);
  final File[] files=new File[fileNames.length];
  for (int i=0; i < files.length; ++i) {
    files[i]=new File(fileNames[i]);
  }
  return files;
}
","/** 
 * Returns the class path of the current JVM instance as an array of  {@link File} objects.
 */
",Creates an array of the file type based on all file names in java.class.path and returns the array.,Converts the Java class path to an array of Files.,"The function retrieves the Java class path, splits it into individual paths using the system path separator, and creates a File object for each path.",@return File[]: Array of File objects representing Java class path entries.,"java.class.path ""lib1.jar:lib2.jar"" -> [lib1.jar, lib2.jar] (Class paths converted to File array)
java.class.path ""/path/to/lib1:/path/to/lib2"" -> [/path/to/lib1, /path/to/lib2] (Absolute paths as File objects)","System property ""java.class.path"" must be set, output is an array of File objects representing the paths.",CoderEval,636766821a6d9265ec0174c9,636766821a6d9265ec0174c9--31,Creates an array of the file type based on all file names in java.class.path and returns the array.,private static File[] classPath(){,"private static File[] classPath(){
        String[] classPath = System.getProperty(""java.class.path"").split(""\\;"");
        File[] files = new File[classPath.length];
        for(int i = 0; i<classPath.length; i++) {
            files[i] = new File(classPath[i]);
        }
        return files;
    }",CodeLlama-7b-Instruct-hf,0
636766821a6d9265ec0174c9,classPath,"private static File[] classPath(){
  final String[] fileNames=System.getProperty(""java.class.path"").split(File.pathSeparator);
  final File[] files=new File[fileNames.length];
  for (int i=0; i < files.length; ++i) {
    files[i]=new File(fileNames[i]);
  }
  return files;
}
","/** 
 * Returns the class path of the current JVM instance as an array of  {@link File} objects.
 */
",Creates an array of the file type based on all file names in java.class.path and returns the array.,Converts the Java class path to an array of Files.,"The function retrieves the Java class path, splits it into individual paths using the system path separator, and creates a File object for each path.",@return File[]: Array of File objects representing Java class path entries.,"java.class.path ""lib1.jar:lib2.jar"" -> [lib1.jar, lib2.jar] (Class paths converted to File array)
java.class.path ""/path/to/lib1:/path/to/lib2"" -> [/path/to/lib1, /path/to/lib2] (Absolute paths as File objects)","System property ""java.class.path"" must be set, output is an array of File objects representing the paths.",CoderEval,636766821a6d9265ec0174c9,636766821a6d9265ec0174c9--24,Creates an array of the file type based on all file names in java.class.path and returns the array.,private static File[] classPath(){,"public static void main(String[] args) throws URISyntaxException {
        File[] files = classPath();
        for (File file : files) {
            System.out.println(file.getAbsolutePath());
        }
    }",deepseek-coder-6.7b-instruct,1
