_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond,dataset,target_id,implementation_id,description,signature,method,generated_by,exit_code
6367667d1a6d9265ec017401,unescapeJava,"public static String unescapeJava(String str) throws Exception {
  if (str == null) {
    return null;
  }
  StringWriter writer=new StringWriter(str.length());
  unescapeJava(writer,str);
  return writer.toString();
}
","/** 
 * <p>Unescapes any Java literals found in the <code>String</code>. For example, it will turn a sequence of <code>'\'</code> and <code>'n'</code> into a newline character, unless the <code>'\'</code> is preceded by another <code>'\'</code>.</p>
 * @param str the <code>String</code> to unescape, may be null
 * @return a new unescaped <code>String</code>, <code>null</code> if null string input
 */
",Unescapes Java that found in the String.,Convert Java escape sequences in a string to actual characters.,"Transforms escape sequences (like \n, \t) in the input string to their respective characters, writing the result to a StringWriter.","@param str String: input string containing Java escape sequences
   @return String: string with escape sequences converted
   @throws Exception: if an error occurs during transformation","""Hello\\nWorld"" -> ""Hello\nWorld"" (newline converted)
""Tab\\tSeparated"" -> ""Tab\tSeparated"" (tab converted)
""\\\\"" -> ""\\"" (backslash preserved)",Input string may have escape sequences and the output will have them converted to respective characters.,CoderEval,6367667d1a6d9265ec017401,6367667d1a6d9265ec017401--0,Unescapes Java that found in the String.,public static String unescapeJava(String str) throws Exception {,"public static String unescapeJava(String str) throws Exception {
    return java.net.URLDecoder.decode(str, ""UTF-8"");
}",Qwen2.5-Coder-7B-Instruct,1
6367667d1a6d9265ec01741d,resolveBound,"public static Type resolveBound(TypeVariable<?> typeVariable){
  Type[] bounds=typeVariable.getBounds();
  if (bounds.length == 0)   return Unknown.class;
  Type bound=bounds[0];
  if (bound instanceof TypeVariable)   bound=resolveBound((TypeVariable<?>)bound);
  return bound == Object.class ? Unknown.class : bound;
}
","/** 
 * Resolves the first bound for the  {@code typeVariable}, returning  {@code Unknown.class} if nonecan be resolved.
 */
","Resolve the class of the first bound for the typeVariable recursively,return Unknown.class if it can't be resolved.Otherwise return the bound.",Resolve type bounds for a TypeVariable.,This function resolves the first bound of a given type variable and recursively resolves it if it's another type variable. It returns Unknown.class if there are no bounds or if the bound is Object.class.,"@param typeVariable TypeVariable<?>: the type variable to resolve the bound for
   @return Type: the resolved type bound","unboundedTypeVar -> Unknown.class (no bounds)
typeVarWithBound -> SomeClass.class (first non-object bound)
circularBound -> SomeClass.class (resolves recursively)",TypeVariable must be non-null; returns a resolved bound or Unknown.class if unresolved.,CoderEval,6367667d1a6d9265ec01741d,6367667d1a6d9265ec01741d--7,"Resolve the class of the first bound for the typeVariable recursively,return Unknown.class if it can't be resolved.Otherwise return the bound.",public static Type resolveBound(TypeVariable<?> typeVariable){,"public static Type resolveBound(TypeVariable<?> typeVariable) {
    // Check if the type variable has a bound
    if (typeVariable.bounds().length > 0) {
        // Retrieve the bound
        Type bound = typeVariable.bounds()[0];
        // Recursively resolve the bound if it is also a type variable
        if (bound instanceof TypeVariable<?>) {
            return resolveBound((TypeVariable<?>) bound);
        } else {
            // Base case: if the bound is not a type variable, return it as is
            return bound;
        }
    } else {
        // If there is no bound, return Unknown.class
        return Unknown.class;
    }
}",Phi-3-mini-4k-instruct,1
6367667e1a6d9265ec01743a,lastWriteTimeStampInMilliseconds,"public long lastWriteTimeStampInMilliseconds(){
  return lastWrite == -1 ? System.currentTimeMillis() : lastWrite;
}
","/** 
 * The last time, in milliseconds, a write operation occurred.
 * @return this
 */
","Check whether lastwrite is - 1. If yes, return - 1. Otherwise, return System.currentTimeMillis().",Returns the last write timestamp or the current time if not set.,"If lastWrite equals -1, it returns the current system time in milliseconds; otherwise, it returns lastWrite.",@return long: The last write timestamp or current time in milliseconds.,"lastWrite = -1 -> current time (lastWrite not set)
lastWrite = 1622538093000 -> 1622538093000 (returns lastWrite)
lastWrite = 0 -> 0 (returns lastWrite)","lastWrite is an internal variable, initialized to -1 if unset; returns a valid long timestamp.",CoderEval,6367667e1a6d9265ec01743a,6367667e1a6d9265ec01743a--12,"Check whether lastwrite is - 1. If yes, return - 1. Otherwise, return System.currentTimeMillis().",public long lastWriteTimeStampInMilliseconds(){,"public long lastWriteTimeStampInMilliseconds(){
    // Assuming there is a field that tracks the last write time in milliseconds
    return lastWriteTime;
}",gpt-4-turbo,1
6367667f1a6d9265ec017457,decodeOctets,"private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.",Decode and append bytes to a StringBuilder.,"The function reads bytes from ByteBuffer, decodes them as a UTF-8 string, appends the result to StringBuilder, and returns an incremented index based on the byte sequence length.","@param i int: The initial index.
@param bb ByteBuffer: The byte buffer containing octets.
@param sb StringBuilder: The StringBuilder to append decoded characters.
@return int: The updated index after decoding.","1 byte with value < 0x80 -> index+2 (decoded single byte)
Multiple bytes -> index + bytes_count*3 - 1 (decoded multiple bytes)","ByteBuffer contains valid UTF-8 encoding, CharBuffer decoding must succeed.",CoderEval,6367667f1a6d9265ec017457,6367667f1a6d9265ec017457--9,"Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  int c=0;
  for(int k=0;k<3;k++){
    if(i+k<bb.position() && bb.get(i+k)>=0 && bb.get(i+k)<128){
      c=(c<<6)|(bb.get(i+k)&0x3F);
    }else if(i+k<bb.position()){
      bb.position(i);
      return i+k;
    }else{
      bb.position(i);
      throw new JsonSyntaxException(""Malformed UTF-8 character at index ""+i+"" of ""+sb);
    }
  }
  char u=(char)c;
  if(u>HIGH_SURROGATE_START && u<HIGH_SURROGATE_END){
    throw new JsonSyntaxException(""Malformed UTF-8 character at index ""+i+"" of ""+sb+
      "" (surrogate pair missing second half)"");
  }
  if(u==CHAR_REPLACEMENT_CHAR){
    throw new JsonSyntaxException(""Malformed UTF-8 character at index ""+i+"" of ""+sb+
      "" (invalid code point 0xD800 - 0xDFFF) (Java 11 bug)"");
  }
  sb.append(u);
  return i+3;
}",starcoder2-7b,1
6367667f1a6d9265ec01745d,decodePath,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
  String rawPath=u.getRawPath();
  if (rawPath != null && rawPath.length() > 0 && rawPath.charAt(0) == '/') {
    rawPath=rawPath.substring(1);
  }
  return decodePath(rawPath,decode);
}
","/** 
 * Decode the path component of a URI as path segments.
 * @param u the URI. If the path component is an absolute path componentthen the leading '/' is ignored and is not considered a delimiator of a path segment.
 * @param decode true if the path segments of the path componentshould be in decoded form.
 * @return the list of path segments.
 */
",Decode the raw path.,Decodes URI paths based on given flag.,"Processes and optionally decodes the path segments of a URI, removing any leading slash, and returns processed segments.","@param u URI: The URI containing the path to decode.  
@param decode boolean: Flag indicating whether to decode the path.  
@return List<PathSegmentImpl>: The list of processed path segments.","URI(""/example/path"", true)
-> List[pathSegment1, pathSegment2] (Decodes and splits path)
URI(""/example/path"", false)
-> List[pathSegment1, pathSegment2] (Splits path, no decoding)
URI("""", true)
-> List[] (Empty path results in empty list)","The input URI can be empty or with leading slash; the output is a list of path segments, optionally decoded.",CoderEval,6367667f1a6d9265ec01745d,6367667f1a6d9265ec01745d--20,Decode the raw path.,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){","public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
String s = u.getRawPath();
return (s.length() != 0)?
decodePath(s, u.getRawAuthority(), u.getRawUserInfo(), decode):
emptyList();
}",CodeLlama-7b-Instruct-hf,1
636766801a6d9265ec017487,encodeTemplateNames,"public static String encodeTemplateNames(String s){
  int i=s.indexOf('{');
  if (i != -1)   s=s.replace(""{"",""%7B"");
  i=s.indexOf('}');
  if (i != -1)   s=s.replace(""}"",""%7D"");
  return s;
}
","/** 
 * Encodes a string with template parameters names present, specifically the characters '{' and '}' will be percent-encoded.
 * @param s the string with zero or more template parameters names
 * @return the string with encoded template parameters names.
 */
","Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",Replaces curly braces in a string with URL-encoded versions.,"The function searches for '{' and '}' in the input string and replaces each occurrence with the encoded strings ""%7B"" and ""%7D"" respectively.",@return String: The modified string with encoded curly braces.,"""{hello}"" -> ""%7Bhello%7D"" (both braces replaced)
""text"" -> ""text"" (no braces so no change)
""a{b}c"" -> ""a%7Bb%7Dc"" (braces encoded)",The input is a non-null string. The output is the original string with encoded curly braces if any present.,CoderEval,636766801a6d9265ec017487,636766801a6d9265ec017487--1,"Encoding the given string by changing '{' and '}' to the specified character for each,return the string after encoding.",public static String encodeTemplateNames(String s){,"public static String encodeTemplateNames(String s) {
    return s.replace(""{"", ""replacement1"").replace(""}"", ""replacement2"");
}",Qwen2.5-Coder-7B-Instruct,1
636766821a6d9265ec0174b6,resolveArguments,"public static Class<?>[] resolveArguments(Type genericType,Class<?> targetType){
  Class<?>[] result=null;
  if (genericType instanceof ParameterizedType) {
    ParameterizedType paramType=(ParameterizedType)genericType;
    Type[] arguments=paramType.getActualTypeArguments();
    result=new Class[arguments.length];
    for (int i=0; i < arguments.length; i++)     result[i]=resolveClass(arguments[i],targetType);
  }
 else   if (genericType instanceof TypeVariable) {
    result=new Class[1];
    result[0]=resolveClass(genericType,targetType);
  }
  return result;
}
","/** 
 * Resolves the arguments for the  {@code genericType} using the type variable information for the{@code targetType}. Returns  {@code null} if {@code genericType} is not parameterized or ifarguments cannot be resolved.
 */
",Resolve and return the arguments for the genericType using the type variable information for the targetType. Returns null if  genericType is not parameterized or if arguments cannot be resolved.,Resolves generic type arguments to their class types.,"The function converts a generic type to an array of Class objects representing the resolved types, using the target type for context.","@param genericType Type: the generic type to resolve
@param targetType Class<?>: the target class for resolving types
@return Class<?>[]: an array of resolved class types","List<String> -> [String] (resolves List type argument)
Map<K,V> -> [K, V] (resolves Map type arguments)
T extends Number -> [Number] (resolves type variable)","Input types must be valid and compatible, results may be null if input isn't parameterized or a type variable.",CoderEval,636766821a6d9265ec0174b6,636766821a6d9265ec0174b6--31,Resolve and return the arguments for the genericType using the type variable information for the targetType. Returns null if  genericType is not parameterized or if arguments cannot be resolved.,"public static Class<?>[] resolveArguments(Type genericType,Class<?> targetType){","public static Class<?>[] resolveArguments(Type genericType,Class<?> targetType){
if(genericType instanceofParameterizedType){
ParameterizedType parameterizedType=(ParameterizedType)genericType;
return(Class<?>[]) Arrays.stream(parameterizedType.getActualTypeArguments())//
.map(typeArgument->resolveRawClass(typeArgument,targetType))//
.filter(resolvedArgument->resolvedArgument!=null)//
.toArray(resolvedArguments->(Class<?>[])Array.newInstance(resolvedArguments.getClass().getComponentType(),resolvedArguments.length));//
}
return null;
}",CodeLlama-7b-Instruct-hf,1
636766821a6d9265ec0174bf,capitalize,"public static String capitalize(String name){
  if (name == null || name.length() == 0) {
    return name;
  }
  char chars[]=name.toCharArray();
  chars[0]=Character.toUpperCase(chars[0]);
  return new String(chars);
}
","/** 
 * Reverse of Introspector.decapitalize
 */
",Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,Capitalizes the first character of a non-empty string.,Converts the first character of a given string to uppercase. Returns the modified string without altering other characters.,"@param name String: The input string to be capitalized
   @return String: The string with the first character capitalized","""hello"" -> ""Hello"" (capitalizes 'h')
""java"" -> ""Java"" (capitalizes 'j')
"""" -> """" (empty string remains unchanged)
null -> null (returns null for null input)",Input is a string or null; output is the modified string with an uppercase first character or unchanged for empty/null input.,CoderEval,636766821a6d9265ec0174bf,636766821a6d9265ec0174bf--6,Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,public static String capitalize(String name){,"public static String capitalize(String name) {
    if (name == null || name.isEmpty()) {
        return name;
    }
    char[] chars = name.toCharArray();
    chars[0] = Character.toUpperCase(chars[0]);
    return String.valueOf(chars);
}",Phi-3-mini-4k-instruct,0
636766821a6d9265ec0174bf,capitalize,"public static String capitalize(String name){
  if (name == null || name.length() == 0) {
    return name;
  }
  char chars[]=name.toCharArray();
  chars[0]=Character.toUpperCase(chars[0]);
  return new String(chars);
}
","/** 
 * Reverse of Introspector.decapitalize
 */
",Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,Capitalizes the first character of a non-empty string.,Converts the first character of a given string to uppercase. Returns the modified string without altering other characters.,"@param name String: The input string to be capitalized
   @return String: The string with the first character capitalized","""hello"" -> ""Hello"" (capitalizes 'h')
""java"" -> ""Java"" (capitalizes 'j')
"""" -> """" (empty string remains unchanged)
null -> null (returns null for null input)",Input is a string or null; output is the modified string with an uppercase first character or unchanged for empty/null input.,CoderEval,636766821a6d9265ec0174bf,636766821a6d9265ec0174bf--2,Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,public static String capitalize(String name){,"public static String capitalize(String name){
    char[] nameArray = name.toCharArray();
    if(nameArray.length > 0){
        nameArray[0] = Character.toUpperCase(nameArray[0]);
    }
    return new String(nameArray);
}",Phi-3-mini-4k-instruct,1
636766821a6d9265ec0174c9,classPath,"private static File[] classPath(){
  final String[] fileNames=System.getProperty(""java.class.path"").split(File.pathSeparator);
  final File[] files=new File[fileNames.length];
  for (int i=0; i < files.length; ++i) {
    files[i]=new File(fileNames[i]);
  }
  return files;
}
","/** 
 * Returns the class path of the current JVM instance as an array of  {@link File} objects.
 */
",Creates an array of the file type based on all file names in java.class.path and returns the array.,Converts the Java class path to an array of Files.,"The function retrieves the Java class path, splits it into individual paths using the system path separator, and creates a File object for each path.",@return File[]: Array of File objects representing Java class path entries.,"java.class.path ""lib1.jar:lib2.jar"" -> [lib1.jar, lib2.jar] (Class paths converted to File array)
java.class.path ""/path/to/lib1:/path/to/lib2"" -> [/path/to/lib1, /path/to/lib2] (Absolute paths as File objects)","System property ""java.class.path"" must be set, output is an array of File objects representing the paths.",CoderEval,636766821a6d9265ec0174c9,636766821a6d9265ec0174c9--5,Creates an array of the file type based on all file names in java.class.path and returns the array.,private static File[] classPath(){,"private static File[] classPath() {
        String classPathString = System.getProperty(""java.class.path"");
        String[] paths = classPathString.split(File.pathSeparator);
        
        File[] files = new File[paths.length];
        for (int i = 0; i < paths.length; i++) {
            files[i] = new File(paths[i]);
        }
        
        return files;
    }",Qwen2.5-Coder-7B-Instruct,0
